iter	Passed	Remaining
401	17518	81272
402	17561	81225
403	17605	81184
404	17644	81123
405	17687	81074
406	17734	81046
407	17775	80992
408	17815	80931
409	17858	80887
410	17904	80851
411	17945	80798
412	17988	80750
413	18030	80700
414	18071	80648
415	18114	80602
416	18157	80556
417	18201	80512
418	18243	80461
419	18283	80404
420	18321	80337
421	18364	80288
422	18418	80292
423	18475	80308
424	18518	80260
425	18561	80213
426	18605	80171
427	18646	80119
428	18688	80068
429	18732	80026
430	18781	80005
431	18826	79967
432	18867	79913
433	18914	79884
434	18960	79853
435	19004	79811
436	19044	79753
437	19089	79712
438	19130	79661
439	19172	79607
440	19215	79564
441	19258	79515
442	19297	79453
443	19337	79396
444	19381	79353
445	19420	79293
446	19458	79228
447	19504	79192
448	19552	79167
449	19593	79112
450	19634	79058
451	19675	79005
452	19715	78948
453	19758	78902
454	19802	78859
455	19842	78802
456	19884	78756
457	19929	78718
458	19972	78670
459	20017	78635
460	20057	78576
461	20103	78541
462	20144	78490
463	20178	78410
464	20221	78363
465	20264	78319
466	20308	78277
467	20350	78226
468	20394	78185
469	20434	78130
470	20475	78075
471	20518	78029
472	20561	77984
473	20607	77950
474	20664	77959
475	20708	77917
476	20748	77860
477	20789	77809
478	20831	77760
479	20875	77718
480	20915	77660
481	20976	77681
482	21017	77629
483	21060	77585
484	21103	77539
485	21147	77497
486	21189	77449
487	21229	77391
488	21273	77349
489	21314	77299
490	21357	77251
491	21401	77211
492	21445	77167
493	21487	77119
494	21531	77080
495	21576	77039
496	21613	76974
497	21654	76921
498	21699	76883
499	21742	76836
500	21782	76782
501	21823	76729
502	21866	76684
503	21904	76622
504	21941	76555
505	21988	76525
506	22024	76457
507	22065	76405
508	22108	76358
509	22152	76318
510	22195	76273
511	22236	76219
512	22276	76165
513	22321	76126
514	22363	76077
515	22403	76025
516	22449	75988
517	22490	75938
518	22529	75880
519	22570	75828
520	22613	75783
521	22656	75738
522	22697	75687
523	22742	75647
524	22787	75610
525	22833	75577
526	22886	75563
527	22931	75526
528	22971	75469
529	23012	75418
530	23054	75372
531	23098	75330
532	23139	75279
533	23181	75232
534	23225	75188
535	23265	75136
536	23309	75095
537	23353	75051
538	23394	75002
539	23437	74957
540	23482	74918
541	23523	74865
542	23563	74813
543	23602	74756
544	23647	74716
545	23688	74666
546	23731	74621
547	23773	74575
548	23817	74534
549	23857	74477
550	23899	74432
551	23944	74392
552	23985	74341
553	24026	74291
554	24068	74243
555	24112	74200
556	24149	74140
557	24190	74087
558	24233	74043
559	24275	73997
560	24319	73956
561	24363	73914
562	24421	73914
563	24460	73857
564	24499	73802
565	24545	73766
566	24588	73721
567	24639	73701
568	24689	73678
569	24741	73660
570	24783	73612
571	24827	73571
572	24871	73528
573	24913	73482
574	24965	73465
575	25010	73424
576	25059	73396
577	25101	73349
578	25148	73315
579	25188	73263
580	25232	73221
581	25277	73182
582	25322	73143
583	25363	73092
584	25407	73051
585	25452	73013
586	25494	72964
587	25532	72905
588	25577	72867
589	25619	72820
590	25663	72777
591	25705	72730
592	25748	72687
593	25788	72633
594	25827	72577
595	25872	72537
596	25910	72481
597	25950	72428
598	25994	72386
599	26030	72322
600	26071	72271
601	26108	72209
602	26153	72170
603	26192	72117
604	26234	72068
605	26275	72019
606	26321	71983
607	26362	71932
608	26403	71883
609	26447	71841
610	26488	71792
611	26530	71744
612	26569	71689
613	26615	71652
614	26656	71602
615	26697	71553
616	26740	71508
617	26783	71465
618	26825	71419
619	26866	71368
620	26909	71324
621	26949	71272
622	26991	71226
623	27034	71182
624	27077	71138
625	27120	71093
626	27162	71047
627	27208	71009
628	27257	70982
629	27306	70953
630	27350	70910
631	27392	70864
632	27434	70818
633	27478	70776
634	27527	70747
635	27580	70730
636	27638	70724
637	27685	70690
638	27728	70643
639	27768	70593
640	27812	70551
641	27856	70507
642	27897	70459
643	27940	70415
644	27983	70371
645	28025	70325
646	28068	70280
647	28113	70241
648	28153	70187
649	28196	70143
650	28238	70096
651	28281	70052
652	28327	70015
653	28371	69973
654	28414	69929
655	28455	69880
656	28496	69831
657	28539	69786
658	28581	69739
659	28622	69692
660	28663	69642
661	28708	69603
662	28744	69541
663	28786	69496
664	28829	69451
665	28874	69412
666	28931	69401
667	28980	69371
668	29025	69332
669	29067	69284
670	29105	69228
671	29148	69183
672	29192	69141
673	29229	69085
674	29276	69048
675	29317	69000
676	29361	68958
677	29404	68913
678	29451	68878
679	29506	68862
680	29550	68821
681	29595	68781
682	29637	68735
683	29678	68686
684	29721	68641
685	29764	68597
686	29807	68552
687	29849	68505
688	29892	68461
689	29927	68398
690	29972	68360
691	30016	68318
692	30060	68275
693	30103	68231
694	30142	68177
695	30184	68131
696	30224	68080
697	30266	68035
698	30305	67981
699	30348	67936
700	30392	67894
701	30432	67843
702	30474	67797
703	30516	67750
704	30556	67700
705	30597	67651
706	30644	67618
707	30686	67570
708	30729	67526
709	30771	67480
710	30814	67437
711	30857	67392
712	30899	67345
713	30941	67300
714	30984	67255
715	31027	67210
716	31073	67173
717	31114	67126
718	31155	67078
719	31196	67029
720	31236	66979
721	31280	66936
722	31321	66888
723	31366	66848
724	31410	66807
725	31451	66758
726	31488	66701
727	31525	66646
728	31568	66602
729	31609	66552
730	31651	66507
731	31695	66465
732	31753	66451
733	31795	66405
734	31840	66367
735	31883	66322
736	31931	66288
737	31991	66280
738	32032	66232
739	32073	66183
740	32126	66160
741	32174	66127
742	32215	66078
743	32257	66031
744	32301	65989
745	32342	65942
746	32386	65901
747	32429	65856
748	32470	65808
749	32513	65764
750	32554	65715
751	32595	65668
