iter	RMSE
0	0.1049259988
1	0.1011577182
2	0.09753543692
3	0.09409538527
4	0.09072427266
5	0.08752705578
6	0.08443541592
7	0.08145423073
8	0.07860895036
9	0.07587766365
10	0.07328312586
11	0.0707543914
12	0.06830562409
13	0.06596750035
14	0.06371183397
15	0.06156832441
16	0.05950442754
17	0.05751098155
18	0.05560268724
19	0.05377491443
20	0.05200988451
21	0.05033598666
22	0.04871776956
23	0.0471750953
24	0.04570663352
25	0.04425431887
26	0.04284495642
27	0.04151916761
28	0.04021967268
29	0.03899687507
30	0.03781441182
31	0.03665950009
32	0.03557916361
33	0.0345611773
34	0.0335550043
35	0.03259833844
36	0.03166401383
37	0.03078361255
38	0.0299298424
39	0.02911378447
40	0.02835601039
41	0.02761217254
42	0.02690239884
43	0.02620993884
44	0.02553675898
45	0.0249148233
46	0.02431622564
47	0.02374974915
48	0.02320593485
49	0.02269635195
50	0.0221694161
51	0.02169714512
52	0.0212175796
53	0.02075320794
54	0.02033239454
55	0.01994252062
56	0.01955999285
57	0.01920764374
58	0.01886260666
59	0.01853723111
60	0.01823064204
61	0.01794641567
62	0.01766457104
63	0.01736537371
64	0.0170785926
65	0.01683923095
66	0.016608084
67	0.01639457993
68	0.01618377708
69	0.01594968825
70	0.01572713316
71	0.01555031132
72	0.01538312169
73	0.0152193287
74	0.01501684324
75	0.01486120059
76	0.01472828048
77	0.01460013587
78	0.01443876507
79	0.01431840931
80	0.01417733951
81	0.01404307477
82	0.01394289713
83	0.01379537239
84	0.0136777734
85	0.01359415118
86	0.01350778804
87	0.01340427183
88	0.01331236257
89	0.013209288
90	0.01311662925
91	0.01302148131
92	0.0129389753
93	0.01283403576
94	0.01273212629
95	0.01267545785
96	0.01259334649
97	0.01251164983
98	0.01246737858
99	0.01238200891
100	0.0123248913
101	0.01226303868
102	0.01220082656
103	0.01213575089
104	0.01207696062
105	0.0120456354
106	0.01196134965
107	0.01190852466
108	0.01183637277
109	0.01179639194
110	0.01172916648
111	0.01165870973
112	0.01159707853
113	0.01153964737
114	0.01147639067
